osm_id,highway,addr:city,addr:country,addr:housenumber,addr:municipality,addr:postcode,addr:street,osak:identifier,branch,brand,brand:wikidata,brand:wikipedia,fvst:navnelbnr,name,opening_hours,payment:cash,payment:credit_cards,ref:DK:cvr,ref:DK:cvr:pnummer,shop,wheelchair,amenity,cuisine,note,phone,website,bench,bin,bus,lit,network,network:wikidata,public_transport,shelter,fvst:name,capacity,takeaway,fvst:fixme,alt_name,toilets:wheelchair,atm,operator,access:covid19,seasonal,entrance,description,email,second_hand,crossing,crossing:island,denomination,religion,wikidata,button_operated,traffic_signals:sound,traffic_signals:vibration,old_name,microbrewery,social_facility:for,delivery,internet_access,internet_access:fee,outdoor_seating,smoking,traffic_signals:direction,access,covered,fee,parking,supervised,craft,tactile_paving,direction,surface,traffic_calming,cyclestreet,cycleway,maxspeed,sidewalk,source:maxspeed,oneway,lane_markings,cycleway:both,building,building:levels,roof:levels,roof:shape,lanes,landuse,residential,height,wikipedia,tunnel,barrier,leisure,indoor,ref,route,type,from,to,via,route_master,duration,interval,interval:conditional,public_transport:version,WKT
"255072608","traffic_signals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.2093001 56.148257)"
"292980611","traffic_signals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.209398 56.1482432)"
"341990822",,"Aarhus C","DK","1","Aarhus","8000","Brammersgade","0a3f5095-f2c0-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.20238 56.147207)"
"341990823",,"Aarhus C","DK","2","Aarhus","8000","Brammersgade","0a3f5095-f2c1-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.202544 56.147048)"
"341990824",,"Aarhus C","DK","2A","Aarhus","8000","Brammersgade","0a3f5095-f2c2-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.202662 56.147056)"
"341990825",,"Aarhus C","DK","3","Aarhus","8000","Brammersgade","0a3f5095-f2c3-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.202704 56.147235)"
"341990826",,"Aarhus C","DK","4","Aarhus","8000","Brammersgade","0a3f5095-f2c4-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.202873 56.14704)"
"341990827",,"Aarhus C","DK","5","Aarhus","8000","Brammersgade","0a3f5095-f2c5-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.202825 56.147238)"
"341990828",,"Aarhus C","DK","6","Aarhus","8000","Brammersgade","0a3f5095-f2c6-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.203072 56.147043)"
"341990829",,"Aarhus C","DK","7","Aarhus","8000","Brammersgade","0a3f5095-f2c7-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.202952 56.147242)"
