X,Y,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags
10.20381,56.1418135,"124153770",,,crossing,,,,,,"""crossing""=>""traffic_signals"""
10.2039049,56.1413998,"124154203",,,traffic_signals,,,,,,
10.207489,56.1427344,"195439163",,,traffic_signals,,,,,,
10.2076406,56.1426241,"248616240",,,crossing,,,,,,"""crossing""=>""traffic_signals"""
10.205144,56.141236,"341983052",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""4"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Adolph Meyers Vej"",""osak:identifier""=>""0a3f5095-dcf7-32b8-e044-0003ba298018"""
10.205634,56.141195,"341983053",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""6"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Adolph Meyers Vej"",""osak:identifier""=>""0a3f5095-dcf8-32b8-e044-0003ba298018"""
10.206058,56.141119,"341983054",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""8"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Adolph Meyers Vej"",""osak:identifier""=>""0a3f5095-dcf9-32b8-e044-0003ba298018"""
10.205202,56.142866,"341985249",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""3"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Assensgade"",""osak:identifier""=>""0a3f5095-e334-32b8-e044-0003ba298018"""
10.205013,56.142823,"341985251",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""5"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Assensgade"",""osak:identifier""=>""0a3f5095-e335-32b8-e044-0003ba298018"""
10.204811,56.142794,"341985253",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""7"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Assensgade"",""osak:identifier""=>""0a3f5095-e336-32b8-e044-0003ba298018"""
10.204657,56.142768,"341985255",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""9"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Assensgade"",""osak:identifier""=>""0a3f5095-e337-32b8-e044-0003ba298018"""
10.203722,56.142679,"341985257",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""13"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Assensgade"",""osak:identifier""=>""0a3f5095-e338-32b8-e044-0003ba298018"""
10.203429,56.142672,"341985259",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""15"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Assensgade"",""osak:identifier""=>""0a3f5095-e339-32b8-e044-0003ba298018"""
10.203196,56.142648,"341985261",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""17"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Assensgade"",""osak:identifier""=>""0a3f5095-e33a-32b8-e044-0003ba298018"""
10.202947,56.142587,"341985265",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""19"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Assensgade"",""osak:identifier""=>""0a3f5095-e33c-32b8-e044-0003ba298018"""
10.203545,56.142968,"341985273",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""26"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Assensgade"",""osak:identifier""=>""0a3f5095-e340-32b8-e044-0003ba298018"""
10.203291,56.142943,"341985275",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""28"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Assensgade"",""osak:identifier""=>""0a3f5095-e341-32b8-e044-0003ba298018"""
10.203059,56.142919,"341985277",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""30"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Assensgade"",""osak:identifier""=>""0a3f5095-e342-32b8-e044-0003ba298018"""
10.202946,56.142322,"341996863",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""33"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Dalgas Avenue"",""osak:identifier""=>""0a3f5096-0741-32b8-e044-0003ba298018"""
10.20313,56.142159,"341996864",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""35"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Dalgas Avenue"",""osak:identifier""=>""0a3f5096-0742-32b8-e044-0003ba298018"""
10.203256,56.141165,"341996865",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""38"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Dalgas Avenue"",""osak:identifier""=>""0a3f5096-0743-32b8-e044-0003ba298018"""
10.203388,56.141015,"341996867",,,,,,,,,"""addr:city""=>""Aarhus C"",""addr:country""=>""DK"",""addr:housenumber""=>""40"",""addr:municipality""=>""Aarhus"",""addr:postcode""=>""8000"",""addr:street""=>""Dalgas Avenue"",""osak:identifier""=>""0a3f5096-0744-32b8-e044-0003ba298018"""
