WKT,building
"MULTIPOLYGON (((10.2024816 56.1434907,10.2023236 56.1434845,10.2019987 56.1434511,10.2017828 56.1434213,10.2016248 56.143399,10.2015358 56.143363,10.2017583 56.1431522,10.2022413 56.1427617,10.2023058 56.1427604,10.2028934 56.142846,10.2035232 56.1429253,10.2040061 56.1429588,10.2040573 56.1429787,10.2040685 56.1430468,10.2041352 56.1432886,10.204182 56.1435341,10.204133 56.1435577,10.2040195 56.1435465,10.2030981 56.143523,10.2031315 56.1433829,10.2030491 56.1433481,10.2028822 56.1433543,10.2025484 56.143332,10.2025106 56.1433357,10.202495 56.1434746,10.2024816 56.1434907)),((10.2022635 56.1433531,10.2018362 56.1433246,10.2019542 56.1431969,10.2019831 56.1431944,10.2020476 56.1431522,10.2020365 56.1431374,10.2023014 56.1429229,10.2023281 56.1429241,10.2023481 56.1429117,10.202337 56.1428894,10.2023681 56.1428819,10.2024149 56.1428993,10.2032472 56.1430047,10.2032695 56.1430171,10.2033207 56.1430171,10.2038993 56.143063,10.2039572 56.1433134,10.203946 56.1433295,10.2039683 56.1433655,10.2039839 56.1434325,10.2038259 56.1434325,10.2038103 56.1434213,10.2037658 56.1434225,10.2037413 56.1434275,10.2035744 56.1434263,10.2035143 56.1434163,10.2034831 56.1434213,10.2033696 56.1434151,10.203354 56.1434002,10.2033162 56.1434015,10.2032962 56.1434275,10.2032739 56.1434263,10.2033029 56.1433122,10.203156 56.1432651,10.2030981 56.1432403,10.2029802 56.1432279,10.2029445 56.1432254,10.2029423 56.143208,10.2028889 56.1432118,10.20288 56.1432266,10.202653 56.1431981,10.2025773 56.1432006,10.2024972 56.1431994,10.2023548 56.1432415,10.2023147 56.1432651,10.2023125 56.1433444,10.202308 56.1433581,10.2022635 56.1433531)))",yes
"MULTIPOLYGON (((10.2043386 56.142786,10.2040283 56.14202,10.2041195 56.1419909,10.2042121 56.141946,10.2042686 56.1419125,10.2049636 56.1420968,10.2056381 56.142332,10.2054827 56.1429568,10.2053312 56.1429529,10.2048288 56.1428565,10.2043386 56.142786)),((10.2053192 56.1428348,10.2045269 56.1427009,10.2042665 56.1420574,10.2042888 56.1420413,10.2054372 56.1423984,10.2053659 56.1427356,10.2053192 56.1428348)))",yes
"MULTIPOLYGON (((10.2051644 56.1427046,10.2046079 56.1426042,10.2044311 56.1422065,10.2044619 56.1421857,10.2045431 56.1421794,10.2052845 56.1424162,10.2053121 56.1424741,10.2053007 56.1425283,10.2052926 56.1425907,10.2052667 56.1426738,10.2052375 56.1426991,10.2051644 56.1427046)),((10.2048773 56.1425762,10.2048351 56.1425554,10.2048221 56.1425328,10.2048156 56.1425066,10.2048172 56.1424822,10.20484 56.1424551,10.2048708 56.1424325,10.204913 56.1424225,10.20496 56.1424144,10.2050071 56.1424171,10.205059 56.1424262,10.2050995 56.1424515,10.2051158 56.1424714,10.2051271 56.1425039,10.2051287 56.142531,10.2051077 56.14255,10.2050849 56.1425672,10.2050622 56.142578,10.2050233 56.1425889,10.2049908 56.1425943,10.204947 56.1425934,10.2049097 56.1425843,10.2048773 56.1425762)))",
"MULTIPOLYGON (((10.2479701 56.1479464,10.2386876 56.1440763,10.2271975 56.139258,10.2266683 56.1394638,10.2218505 56.1398653,10.2217649 56.1399136,10.2215574 56.1399307,10.2214976 56.139937,10.2214833 56.1398824,10.2213385 56.1398951,10.2213526 56.1399448,10.220847 56.1399855,10.2135037 56.1405674,10.2126506 56.1406471,10.2125374 56.1406513,10.212514 56.140584,10.2167306 56.1402369,10.2165905 56.1397106,10.2140191 56.1399129,10.2138631 56.1398615,10.2134387 56.139365,10.2132657 56.139279,10.2130792 56.1392225,10.21281 56.1391819,10.212511 56.139206,10.2080021 56.1403046,10.2074538 56.1403858,10.2086284 56.1429903,10.2087814 56.1435241,10.2088215 56.1438675,10.209054 56.1445823,10.2092449 56.144867,10.2095654 56.1451608,10.2107916 56.1463563,10.2106731 56.1464156,10.2105777 56.1463566,10.2105211 56.1463185,10.2101179 56.1459487,10.2099737 56.1458112,10.2099175 56.145792,10.209636 56.1455855,10.209347 56.14547,10.209212 56.1455611,10.2091017 56.1461299,10.2090423 56.1461338,10.2089097 56.1461426,10.2090285 56.1467084,10.209104 56.1470602,10.2091557 56.1472902,10.2092208 56.1475038,10.2092579 56.1476243,10.2093444 56.1478444,10.2094487 56.1479495,10.209527 56.1482865,10.20957 56.1484714,10.2097934 56.1490116,10.2101181 56.1497967,10.2105341 56.1509343,10.2108233 56.1516763,10.2109612 56.1518697,10.2117034 56.1518669,10.2121516 56.1519918,10.2126896 56.1525276,10.2131827 56.1523737,10.2143409 56.1518788,10.2147093 56.1520477,10.2160474 56.1526806,10.216393 56.1529539,10.2181019 56.1542631,10.2194263 56.1558964,10.2193691 56.1560445,10.2201135 56.1569507,10.2204658 56.157081,10.2214934 56.156792,10.2220522 56.1566348,10.2211265 56.1555932,10.2216519 56.1554597,10.2225856 56.1565104,10.2225496 56.1565258,10.2225897 56.1565729,10.2226774 56.1565885,10.2227619 56.1565638,10.2227922 56.1565156,10.2227424 56.1564643,10.2226822 56.1564521,10.2213214 56.154916,10.2205994 56.1543202,10.2182123 56.1524084,10.218272 56.1523401,10.2205272 56.1527755,10.220581 56.1527343,10.2189879 56.1515188,10.2160673 56.1509544,10.2156766 56.1507607,10.2138011 56.1488627,10.2139637 56.1488027,10.2141657 56.1489513,10.2142383 56.1489261,10.2138278 56.148591,10.2140074 56.1484991,10.2145257 56.1489295,10.2145964 56.148937,10.2163389 56.1482593,10.2163541 56.1482123,10.213242 56.1457042,10.2138407 56.1454722,10.2169157 56.1479582,10.2196005 56.1498726,10.2211586 56.1513868,10.2222807 56.1529812,10.2266018 56.1578712,10.2265048 56.1578849,10.2264876 56.1578583,10.2263965 56.1578786,10.226357 56.1579259,10.2263874 56.1579789,10.2264724 56.1579986,10.2265564 56.1579845,10.2266053 56.1579426,10.2278839 56.1577061,10.2279914 56.1576729,10.2275623 56.1571892,10.2276434 56.1570859,10.2275793 56.1570071,10.2273731 56.156987,10.2273268 56.1569354,10.2274117 56.1568215,10.2272716 56.1566628,10.2271299 56.1567075,10.2270256 56.1565892,10.2271191 56.1564881,10.2270454 56.1564097,10.2268414 56.156386,10.2259483 56.1553637,10.2259891 56.1553496,10.2279689 56.1556388,10.2294277 56.1572811,10.2316074 56.1588039,10.2320064 56.1594775,10.2319684 56.1601769,10.231369 56.1610166,10.2313149 56.1610042,10.2312743 56.1610698,10.2313149 56.1611138,10.2314204 56.1611319,10.2315015 56.1611104,10.2315401 56.1610517,10.2315178 56.1610099,10.2318123 56.1605951,10.2318679 56.1606087,10.2321833 56.160194,10.2322149 56.1594653,10.2318276 56.1587937,10.2316489 56.1586031,10.2334067 56.1572527,10.234344 56.1566081,10.234226 56.1564737,10.2345974 56.1560542,10.2342166 56.1552398,10.2333677 56.1548484,10.232901 56.1544421,10.2313828 56.1535144,10.2308598 56.1533276,10.2306935 56.1531917,10.2306919 56.1530621,10.2317709 56.1525303,10.2270831 56.1496055,10.2266876 56.1497181,10.2266112 56.1496868,10.2254915 56.1500015,10.2253418 56.1499577,10.2252665 56.1498901,10.2250239 56.1498429,10.2247689 56.1498078,10.2244964 56.1498235,10.2243899 56.1498777,10.2243568 56.1499472,10.2243547 56.1501353,10.2243293 56.150191,10.2242251 56.1502219,10.2242687 56.1489832,10.223839 56.1486329,10.2237037 56.1485226,10.222643 56.1476586,10.2219173 56.1470617,10.2221547 56.146929,10.2225078 56.146666,10.2232059 56.1463991,10.2180954 56.1422413,10.2190411 56.1418685,10.2193325 56.1416363,10.2274113 56.1447967,10.2314062 56.1463517,10.2319547 56.1465732,10.232819 56.1441923,10.2337522 56.1434946,10.2356729 56.1442895,10.2393335 56.1457989,10.2407881 56.1459107,10.243775 56.147222,10.244716 56.1488845,10.2454187 56.1493556,10.2479701 56.1479464)))",
"MULTIPOLYGON (((10.1905221 56.139676,10.1901063 56.1367461,10.1901036 56.1364576,10.1953283 56.1373328,10.1975099 56.1377287,10.1998987 56.1381722,10.2006624 56.1382468,10.2016502 56.1384212,10.2035071 56.1388937,10.2042458 56.1389336,10.2050035 56.1389778,10.2056672 56.1389303,10.205745 56.1389318,10.2058126 56.1389468,10.2058738 56.1389769,10.2066957 56.139382,10.2067869 56.1394507,10.2068161 56.1400463,10.2068929 56.1405361,10.2069975 56.1411196,10.2071403 56.1416458,10.20737 56.1421764,10.2075535 56.1426227,10.2075174 56.1426662,10.2073826 56.1426713,10.2055912 56.141931,10.2044775 56.1416039,10.2032087 56.1413368,10.1996891 56.1406428,10.1991522 56.1405884,10.1982948 56.1405017,10.1905221 56.139676)))",
"MULTIPOLYGON (((10.2049495 56.1410248,10.2050005 56.1410472,10.2049442 56.1410965,10.2049039 56.1410831,10.2048342 56.1411384,10.2046612 56.14107,10.2047484 56.1409979,10.2049066 56.1410592,10.2049495 56.1410248)))",yes
"MULTIPOLYGON (((10.204912 56.141624,10.2054297 56.1417884,10.2054458 56.1417794,10.2054618 56.1417735,10.2054753 56.1417705,10.2054484 56.1416913,10.2058132 56.1416464,10.20584 56.1417167,10.2058642 56.1417152,10.2058856 56.1417167,10.2059071 56.1417212,10.2059822 56.1416106,10.2060895 56.141633,10.2059902 56.1417735,10.2058856 56.141754,10.2058534 56.1417511,10.205494 56.1418004,10.2054726 56.1418078,10.2054082 56.1418721,10.2048396 56.1416943,10.204912 56.141624)))",yes
"MULTIPOLYGON (((10.2031739 56.1420335,10.2025114 56.142555,10.2026965 56.1426312,10.2027689 56.1425729,10.2027957 56.1425849,10.2027662 56.1426133,10.2028467 56.1426417,10.2029137 56.1426626,10.2030023 56.142685,10.2030827 56.142703,10.2031954 56.1427224,10.2032812 56.1427358,10.203367 56.1427448,10.2034529 56.1427523,10.2035307 56.1427567,10.2036058 56.1427567,10.2036862 56.1427582,10.203756 56.1427553,10.2038391 56.1427508,10.2039196 56.1427418,10.203882 56.1426238,10.2038177 56.1426282,10.2037426 56.1426312,10.2036728 56.1426327,10.2036138 56.1426327,10.2035414 56.1426312,10.2034851 56.1426297,10.203426 56.1426238,10.2033644 56.1426163,10.2033027 56.1426103,10.2032437 56.1426028,10.2031927 56.1425954,10.2031337 56.1425834,10.20308 56.1425685,10.203021 56.1425535,10.2029701 56.1425386,10.2029191 56.1425206,10.2028842 56.1425117,10.2028655 56.1425236,10.2028306 56.1425117,10.2033509 56.1421052,10.2031739 56.1420335)))",apartments
"MULTIPOLYGON (((10.2058213 56.1411025,10.2058534 56.1412355,10.2057435 56.1412445,10.2057381 56.141231,10.2055144 56.1412493,10.2054914 56.1411608,10.2055986 56.1411518,10.2055926 56.1411221,10.2058213 56.1411025)))",yes
"MULTIPOLYGON (((10.2066477 56.143495,10.2064693 56.1434343,10.2066515 56.1432681,10.2068299 56.1433289,10.2066477 56.143495)))",yes
